�;M86.8;9825
10013005;Геноха -Шенлейна синдром;D69.0;13015
10013006;Геноха -Шенлейна синдром пурпура;D69.0;13016
10013007;Гентингтона болезнь;G10;13017
10013008;Гентингтона болезнь с деменцией;G10;13018
10013009;Гентингтона хорея;G10;13019
10013010;Гентингтона хорея с деменцией;G10;13020
10013011;Географический язык;K14.1;13021
10013012;Геотрихоз;B48.3;13022
10013013;Геотрихозный стоматит;B48.3;13023
10013014;Гепаталгия;K76.8;13024
10013015;Гепатизация легкого;J18.1;13025
10013016;Гепатизация легкого острая;J18.1;13026
10013017;Гепатит;K75.9;13027
10013018;Гепатит алкогольный;K70.1;13028
10013019;Гепатит алкогольный острый;K70.1;13029
10013020;Гепатит алкогольный хронический;K70.1;13030
10013021;Гепатит амебный;A06.4;13031
10013022;Гепатит аутоиммунный;K75.4;13032
10013023;Гепатит бактериальный;K75.8;13033
10013024;Гепатит вирусный;B19.9;13034
10013025;Гепатит вирусный без печеночной комы;B19.9;13035
10013026;Гепатит вирусный врожденный;P35.3;13036
10013027;Гепатит вирусный Коксаки;B33.8;13037
10013028;Гепатит вирусный неуточненный без печеночной комы;B19.9;13038
10013029;Гепатит вирусный ни A, ни B;B17.8;13039
10013030;Гепатит вирусный острый;B17.9;13040
10013031;Гепатит вирусный острый типа A;B15.9;13041
10013032;Гепатит вирусный острый типа A с печеночной комой;B15.0;13042
10013033;Гепатит вирусный острый типа B;B16.9;13043
10013034;Гепатит вирусный острый типа D;B16.1;13044
10013035;Гепатит вирусный острый типа D без печеночной комы;B16.1;13045
10013036;Гепатит вирусный острый типа D гепатит В с дельта-агентом;B16.1;13046
10013037;Гепатит вирусный острый типа D коинфекция;B16.1;13047
10013038;Гепатит вирусный острый типа D с печеночной комой;B16.0;13048
10013039;Гепатит вирусный острый типа В с дельта-агентом;B16.1;13049
10013040;Гепатит вирусный острый типа В с дельта-агентом без печеночной комы;B16.1;13050
10013041;Гепатит вирусный острый типа В с дельта-агентом гепатит D;B16.1;13051
10013042;Гепатит вирусный острый типа В с дельта-агентом коинфекция;B16.1;13052
10013043;Гепатит вирусный острый типа В с дельта-агентом с печеночной комой;B16.0;13053
10013044;Гепатит вирусный острый типа Е;B17.2;13054
10013045;Гепатит вирусный острый типа С;B17.1;13055
10013046;Гепатит вирусный острый, уточненный;B17.8;13056
10013047;Гепатит вирусный с печеночной комой;B19.0;13057
10013048;Гепатит вирусный с цитомегалическими включениями;B25.1;13058
10013049;Гепатит вирусный типа A;B15.9;13059
10013050;Гепатит вирусный типа A с печеночной комой;B15.0;13060
10013051;Гепатит вирусный типа B;B18.1;13061
10013052;Гепатит вирусный типа B без дельта-агента;B18.1;13062
10013053;Гепатит вирусный типа B хронический;B18.1;13063
10013054;Гепатит вирусный типа D;B18.0;13064
10013055;Гепатит вирусный типа D острый;B16.1;13065
10013056;Гепатит вирусный типа D острый без печеночной комы;B16.1;13066
10013057;Гепатит вирусный типа D острый коинфекция;B16.1;13067
10013058;Гепатит вирусный типа D острый с печеночной комой;B16.0;13068
10013059;Гепатит вирусный типа D хронический;B18.0;13069
10013060;Гепатит вирусный типа D, гепатит В с дельта-агентом;B18.0;13070
10013061;Гепатит вирусный типа В с дельта-агентом;B18.1;13071
10013062;Гепатит вирусный типа В с дельта-агентом гепатит D;B18.1;13072
10013063;Гепатит вирусный типа Е;B17.2;13073
10013064;Гепатит вирусный типа Е хронический;B18.8;13074
10013065;Гепатит вирусный типа С;B18.2;13075
10013066;Гепатит вирусный типа С острый;B17.1;13076
10013067;Гепатит вирусный типа С острый, длительность менее шести месяцев;B17.1;13077
10013068;Гепатит вирусный типа С хронический;B18.2;13078
10013069;Гепатит вирусный типа С хронический длительностью шесть месяцев и более;B18.2;13079
10013070;Гепатит вирусный хронический;B18.9;13080
10013071;Гепатит вирусный хронический типа B;B18.1;13081
10013072;Гепатит вирусный хронический типа B с дельта-агентом;B18.0;13082
10013073;Гепатит вирусный хронический типа B с дельта-агентом, гепатит D;B18.0;13083
10013074;Гепатит вирусный хронический типа C;B18.2;13084
10013075;Гепатит вирусный хронический типа D;B18.0;13085
10013076;Гепатит вирусный хронический типа D, гепатит В с дельта-агентом;B18.0;13086
10013077;Гепатит вирусный хронический типа E;B18.8;13087
10013078;Гепатит вирусный хронический, уточненный;B18.8;13088
10013079;Гепатит вирусный, осложняющий беременность;O98.4;13089
10013080;Гепатит вирусный, осложняющий послеродовый период;O98.4;13090
10013081;Гепатит вирусный, осложняющий роды;O98.4;13091
10013082;Гепатит волчаночный;K75.4;13092
10013083;Гепатит грануломатозный;K75.3;13093
10013084;Гепатит злокачественный;K72.9;13094
10013085;Гепатит злокачественный с печеночной недостаточностью;K72.9;13095
10013086;Гепатит интерстициальный;K74.6;13096
10013087;Гепатит интерстициальный хронический;K74.6;13097
10013088;Гепатит инфекционный острый;B17.9;13098
10013089;Гепатит инфекционный подострый;B17.9;13099
10013090;Гепатит инфекционный с печеночной комой;B15.0;13100
10013091;Гепатит инфекционный хронический;B18.9;13101
10013092;Гепатит катаральный;B15.9;13102
10013093;Гепатит катаральный острый;B15.9;13103
10013094;Гепатит невирусный;K75.9;13104
10013095;Гепатит невирусный острый;K72.0;13105
10013096;Гепатит неонатальный;P59.2;13106
10013097;Гепатит неонатальный гигантоклеточный;P59.2;13107
10013098;Гепатит неонатальный идиопатический;P59.2;13108
10013099;Гепатит неонатальный токсический;P59.2;13109
10013100;Гепатит новорожденного;P59.2;13110
10013101;Гепатит новорожденного гигантоклеточный;P59.2;13111
10013102;Гепатит новорожденного идиопатический;P59.2;13112
10013103;Гепатит острый;B17.9;13113
10013104;Гепатит острый алкогольный;K70.1;13114
10013105;Гепатит острый вирусный;B17.9;13115
10013106;Гепатит острый вирусный неуточненный;B17.9;13116
10013107;Гепатит острый инфекционный;B17.9;13117
10013108;Гепатит острый не вирусный;K72.0;13118
10013109;Гепатит плода;P59.2;13119
10013110;Гепатит плода гигантоклеточный;P59.2;13120
10013111;Гепатит плода идиопатический;P59.2;13121
10013112;Гепатит при свинке;B26.8;13122
10013113;Гепатит реактивный, неспецифический;K75.2;13123
10013114;Гепатит с положительной пробой на австралийский антиген;B16.9;13124
10013115;Гепатит сифилитический;A52.7;13125
10013116;Гепатит сифилитический врожденный;A50.0;13126
10013117;Гепатит сифилитический врожденный поздний;A50.5;13127
10013118;Гепатит сифилитический врожденный ранний;A50.0;13128
10013119;Гепатит сифилитический вторичный;A51.4;13129
10013120;Гепатит сифилитический поздний;A52.7;13130
10013121;Гепатит токсический;K71.6;13131
10013122;Гепатит туберкулезный;A18.8;13132
10013123;Гепатит холангиолитический;K75.8;13133
10013124;Гепатит холестатический;K75.8;13134
10013125;Гепатит хронический;B18.9;13135
10013126;Гепатит хронический активный;K73.2;13136
10013127;Гепатит хронический долевой;K73.1;13137
10013128;Гепатит хронический персистирующий;K73.0;13138
10013129;Гепатит хронический, уточненный;B18.8;13139
10013130;Гепатит цитомегаловирусный;B25.1;13140
10013131;Гепатит эпидемический;B15.9;13141
10013132;Гепатит эпидемический с печеночной комой;B15.0;13142
10013133;Гепатит, ассоциированный с антигеном;B16.9;13143
10013134;Гепатит, ассоциированный с антигеном НАА;B16.9;13144
10013135;Гепатит, вызванный вирусом герпеса;B00.8;13145
10013136;Гепатит, вызванный гомологической сывороткой профилактической;B16.9;13146
10013137;Гепатит, вызванный гомологической сывороткой профилактической лечебной;B16.9;13147
10013138;Гепатит, вызванный токсоплазмозом;B58.1;13148
10013139;Гепатит, вызванный токсоплазмозом врожденным;P37.1;13149
10013140;Гепатит, вызванный токсоплазмозом врожденным активным;P37.1;13150
10013141;Гепатит, вызванный токсоплазмозом приобретенным;B58.1;13151
10013142;Гепатит, вызванный этанолом;K70.1;13152
10013143;Гепатит, вызванный этанолом острый;K70.1;13153
10013144;Гепатит, вызванный этанолом хронический;K70.1;13154
10013145;Гепатобластома;C22.2;13155
10013146;Гепатоз;K76.8;13156
10013147;Гепатокарцинома;C22.0;13157
10013148;Гепатолентикулярная дегенерация;E83.0;13158
10013149;Гепатома;C22.0;13159
10013150;Гепатома доброкачественная;D13.4;13160
10013151;Гепатома злокачественная;C22.0;13161
10013152;Гепатома эмбриональная;C22.0;13162
10013153;Гепатомегалия;R16.0;13163
10013154;Гепатомегалия врожденная;Q44.7;13164
10013155;Гепатомегалия гликогенная диффузная;E74.0;13165
10013156;Гепатомегалия при инфекционном мононуклеозе;B27.0;13166
10013157;Гепатомегалия при инфекционном мононуклеозе гаммагерпесвирусном;B27.0;13167
10013158;Гепатомегалия со спленомегалией;R16.2;13168
10013159;Гепатоптоз;K76.8;13169
10013160;Гепаторенальный синдром после родов;O90.4;13170
10013161;Гепаторенальный синдром после родоразрешения;O90.4;13171
10013162;Гепатоспленомегалия;R16.2;13172
10013163;Гепатоспленомегалия гиперлипемическая;E78.3;13173
10013164;Гепатоспленомегалия гиперлипемическая типа Бюргера-Грутца;E78.3;13174
10013165;Гепатохолангиокарцинома;C22.0;13175
10013166;Гепатохолангит;K75.8;13176
10013167;Герена-Штерна синдром;Q74.3;13177
10013168;Герксгеймера реакция;T78.2;13178
10013169;Германская корь;B06.9;13179
10013170;Гермафродитизм;Q56.0;13180
10013171;Гермафродитизм 46, XX со штрихованными гонадами;Q99.1;13181
10013172;Гермафродитизм 46, XX/46, XY;Q99.0;13182
10013173;Гермафродитизм 46, XY со штрихованными гонадами;Q99.1;13183
10013174;Гермафродитизм истинный;Q56.0;13184
10013175;Гермафродитизм химера 46, XX/46, XY;Q99.0;13185
10013176;Герминобластома;C85.9;13186
10013177;Герминобластома диффузная;C85.9;13187
10013178;Герминобластома фолликулярная;C82.9;13188
10013179;Геронтоксон;H18.4;13189
10013180;Герпангина;B08.5;13190
10013181;Герпес;B00.9;13191
10013182;Герпес zoster;B02.9;13192
10013183;Герпес zoster века;B02.3;13193
10013184;Герпес zoster диссеминированный;B02.7;13194
10013185;Герпес zoster осложненный;B02.8;13195
10013186;Герпес zoster с ганглионитом узла коленца лицевого нерва;B02.2;13196
10013187;Герпес zoster с глазными осложнениями;B02.3;13197
10013188;Герпес zoster с кератитом;B02.3;13198
10013189;Герпес zoster с кератитом интерстициальным;B02.3;13199
10013190;Герпес zoster с менингитом;B02.1;13200
10013191;Герпес zoster с невралгией тройничного нерва;B02.2;13201
10013192;Герпес zoster с невритом, невралгией;B02.2;13202
10013193;Герпес zoster с полиневропатией;B02.2;13203
10013194;Герпес zoster с уточненным осложнением;B02.8;13204
10013195;Герпес zoster с энцефалитом;B02.0;13205
10013196;Герпес zoster ушной;B02.2;13206
10013197;Герпес аногенитальный;A60.9;13207
10013198;Герпес беременных;O26.4;13208
10013199;Герпес века;B02.3;13209
10013200;Герпес века zoster;B02.3;13210
10013201;Герпес века простой;B00.5;13211
10013202;Герпес висцеральный;B00.8;13212
10013203;Герпес вследствие болезни, вызванной ВИЧ;B20.3;13213
10013204;Герпес вульвы;A60.0;13214
10013205;Герпес генитальный;A60.0;13215
10013206;Герпес генитальный у женщин;A60.0;13216
10013207;Герпес генитальный у мужчин;A60.0;13217
10013208;Герпес глаза;B02.3;13218
10013209;Герпес глаза zoster;B02.3;13219
10013210;Герпес глаза простой;B00.5;13220
10013211;Герпес губы простой;B00.1;13221
10013212;Герпес кожи перианальной области;A60.1;13222
10013213;Герпес кольцевидный;B35.4;13223
10013214;Герпес кольцевидный буллезный;L12.0;13224
10013215;Герпес мошонки;A60.0;13225
10013216;Герпес полового члена;A60.0;13226
10013217;Герпес простой;B00.9;13227
10013218;Герпес простой века;B00.5;13228
10013219;Герпес простой висцеральный;B00.8;13229
10013220;Герпес простой врожденный;P35.2;13230
10013221;Герпес простой конъюнктивы;B00.5;13231
10013222;Герпес простой наружного уха;B00.1;13232
10013223;Герпес простой осложненный;B00.8;13233
10013224;Герпес прямой кишки;A60.1;13234
10013225;Герпес радужки;L51.1;13235
10013226;Герпес радужки эритема везикулярная многоформная;L51.1;13236
10013227;Герпес с глазными осложнениями;B02.3;13237
10013228;Герпес с глазными осложнениями простой;B00.5;13238
10013229;Герпес стригущий;B35.0;13239
10013230;Герпес фациалис;B00.1;13240
10013231;Герпетический блефарит;B02.3;13241
10013232;Герпетический блефарит zoster;B02.3;13242
10013233;Герпетический блефарит простой;B00.5;13243
10013234;Герпетический ганглионит узла коленца лицевого нерва;B02.2;13244
10013235;Герпетический гепатит;B00.8;13245
10013236;Герпетический гингивостоматит;B00.2;13246
10013237;Герпетический иридоциклит;B00.5;13247
10013238;Герпетический иридоциклит zoster;B02.3;13248
10013239;Герпетический иридоциклит простой;B00.5;13249
10013240;Герпетический ирит;B00.5;13250
10013241;Герпетический ирит простой;B00.5;13251
10013242;Герпетический кератит;B00.5;13252
10013243;Герпетический кератит zoster;B02.3;13253
10013244;Герпетический кератит zoster интерстициальный;B02.3;13254
10013245;Герпетический кератит дискоформный;B00.5;13255
10013246;Герпетический кератит древовидный;B00.5;13256
10013247;Герпетический кератит интерстициальный;B00.5;13257
10013248;Герпетический кератит простой;B00.5;13258
10013249;Герпетический кератит с уточненным осложнением;B00.8;13259
10013250;Герпетический кератоконъюнктивит;B00.5;13260
10013251;Герпетический кератоконъюнктивит zoster;B02.3;13261
10013252;Герпетический кератоконъюнктивит простой;B00.5;13262
10013253;Герпетический конъюнктивит;B00.5;13263
10013254;Герпетический конъюнктивит zoster;B02.3;13264
10013255;Герпетический конъюнктивит простой;B00.5;13265
10013256;Герпетический лабиализ;B00.1;13266
10013257;Герпетический менингит;B00.3;13267
10013258;Герпетический менингит zoster;B02.1;13268
10013259;Герпетический менингит простой;B00.3;13269
10013260;Герпетический панариций;B00.8;13270
10013261;Герпетический сепсис;B00.7;13271
10013262;Герпетический стоматит;B00.2;13272
10013263;Герпетический фарингит, фаринготонзиллит;B00.2;13273
10013264;Герпетический энцефалит;B00.4;13274
10013265;Герпетическое воспаление узла коленца лицевого нерва;B02.2;13275
10013266;Геррика анемия;D57.1;13276
10013267;Герса болезнь;E74.0;13277
10013268;Герстманна синдром;F81.2;13278
10013269;Герстманна синдром развивающийся;F81.2;13279
10013270;Гертера-Ги синдром;K90.0;13280
10013271;Герфордта болезнь;D86.8;13281
10013272;Герхардта синдром;J38.0;13282
10013273;Гестационный период, беременность множественная;O30.9;13283
10013274;Гестационный период, беременность множественная уточненная;O30.8;13284
10013275;Гетеротопия головного мозга;Q04.8;13285
10013276;Гетеротропия;H50.4;13286
10013277;Гетеротропия вертикальная;H50.2;13287
10013278;Гетеротропия перемежающаяся;H50.3;13288
10013279;Гетерофиоз;B66.8;13289
10013280;Гетерофиоз тонкого кишечника;B66.8;13290
10013281;Гетерофория;H50.5;13291
10013282;Гетерохромия;Q13.2;13292
10013283;Гетерохромия волос;L67.1;13293
10013284;Гетерохромия врожденная;Q13.2;13294
10013285;Гетерохромия, вызванная задержкой металлического инородного тела;H44.7;13295
10013286;Гетерохромия, вызванная задержкой металлического инородного тела магнитного;H44.6;13296
10013287;Гетерохромия, вызванная задержкой металлического инородного тела немагнитного;H44.7;13297
10013288;Гетерохромная катаракта;H26.2;13298
10013289;Гетерохромный иритом;H20.8;13299
10013290;Гетерохромный увеит;H20.8;13300
10013291;Гетерохромный циклит;H20.8;13301
10013292;Гетерохромный циклит Фукса;H20.8;13302
10013293;Гетчинсона ангиома ползучая;L81.7;13303
10013294;Гетчинсона дисгидроз;L30.1;13304
10013295;Гетчинсона зубы;A50.5;13305
10013296;Гетчинсона зубы как проявление врожденного сифилиса;A50.5;13306
10013297;Гетчинсона летнее пруриго;L56.4;13307
10013298;Гетчинсона летняя сыпь;L56.4;13308
10013299;Гетчинсона пруриго летнее;L56.4;13309
10013300;Гетчинсона резцы;A50.5;13310
10013301;Гетчинсона резцы как проявление врожденного сифилиса;A50.5;13311
10013302;Гетчинсона триада;A50.5;13312
10013303;Гетчинсона триада при врожденном сифилисе;A50.5;13313
10013304;Гетчинсона-Бека болезнь;D86.9;13314
10013305;Гетчинсона-Бека синдром;D86.9;13315
10013306;Гетчинсона-Гилфорда болезнь;E34.8;13316
10013307;Гетчинсона-Гилфорда синдром;E34.8;13317
10013308;Гефирофобия;F40.2;13318
10013309;Ги болезнь;K90.0;13319
10013310;Ги -Гертера болезнь;K90.0;13320
10013311;Ги -Тайсена болезнь;K90.0;13321
10013312;Гиалиновая бляшка склеры старческая;H15.8;13322
10013313;Гиалиновых мембран болезнь;P22.0;13323
10013314;Гиалиновых мембран болезнь легкого;P22.0;13324
10013315;Гиалиновых мембран болезнь легочная;P22.0;13325
10013316;Гиалиновых мембран болезнь новорожденного;P22.0;13326
10013317;Гиалиноз кожи;E78.8;13327
10013318;Гиалиноз кожи и слизистых оболочек;E78.8;13328
10013319;Гиалит звездчатый;H43.2;13329
10013320;Гиалит звездчатый сифилитический;A52.7;13330
10013321;Гиалит звездчатый сифилитический поздний;A52.7;13331
10013322;Гигантизм;E22.0;13332
10013323;Гигантизм гипофизарный;E22.0;13333
10013324;Гигантизм конституциональный;E34.4;13334
10013325;Гигантоклеточная периферическая гранулема;K06.8;13335
10013326;Гигантоклеточный эпулис;K06.8;13336
10013327;Гигантская крапивница;T78.3;13337
10013328;Гигантская крапивница наследственная;D84.1;13338
10013329;Гигантская почка;Q63.3;13339
10013330;Гигантская почка врожденная;Q63.3;13340
10013331;Гигантский пищевод;Q39.5;13341
10013332;Гигантский пищевод врожденный;Q39.5;13342
10013333;Гигрома;D18.1;13343
10013334;Гигрома врожденная;D18.1;13344
10013335;Гигрома кистозная;D18.1;13345
10013336;Гигрома препателлярная;M70.4;13346
10013337;Гидатида Морганьи у женщин;Q50.5;13347
10013338;Гидатида Морганьи у мужчин;Q55.4;13348
10013339;Гидатида Морганьи у мужчин тестикулярная;Q55.2;13349
10013340;Гидатида Морганьи у мужчин эпидидимальная;Q55.4;13350
10013341;Гидатиформный занос;O01.9;13351
10013342;Гидатиформный занос в анамнезе, влияющий на характер ведения беременности;Z35.1;13352
10013343;Гидатиформный занос доброкачественный;O01.9;13353
10013344;Гидатиформный занос злокачественный;D39.2;13354
10013345;Гидатиформный занос инвазивный;D39.2;13355
10013346;Гидатиформный занос классический;O01.0;13356
10013347;Гидатиформный занос неразрешившийся;O01.9;13357
10013348;Гидатиформный занос осложняющий беременность;O01.9;13358
10013349;Гидатиформный занос полный;O01.0;13359
10013350;Гидатиформный занос разрешившийся;O01.9;13360
10013351;Гидатиформный занос частичный;O01.1;13361
10013352;Гидраденит;L73.2;13362
10013353;Гидраденит гнойный;L73.2;13363
10013354;Гидраденит подмышечный;L73.2;13364
10013355;Гидрамнион;O40;13365
10013356;Гидрамнион, влияние на новорожденного;P01.3;13366
10013357;Гидрамнион, влияние на плод;P01.3;13367
10013358;Гидранэнцефалия;Q04.3;13368
10013359;Гидранэнцефалия в сочетании со spina bifida;Q05.4;13369
10013360;Гидраргиризм;T56.1;13370
10013361;Гидрартроз;M25.4;13371
10013362;Гидрартроз гонококковый;A54.4;13372
10013363;Гидрартроз перемежающийся;M12.4;13373
10013364;Гидрартроз при фрамбезии;A66.6;13374
10013365;Гидрартроз при фрамбезии поздней;A66.6;13375
10013366;Гидрартроз при фрамбезии ранней;A66.6;13376
10013367;Гидрартроз сифилитический;A52.7;13377
10013368;Гидрартроз сифилитический врожденный;A50.5;13378
10013369;Гидрартроз сифилитический поздний;A52.7;13379
10013370;Гидремия;D64.8;13380
10013371;Гидроа;R23.8;13381
10013372;Гидроа вакциниформная;L56.4;13382
10013373;Гидроа летняя;L56.4;13383
10013374;Гидроаденит;L73.2;13384
10013375;Гидроаденит гнойный;L73.2;13385
10013376;Гидроаденит подмышечный;L73.2;13386
10013377;Гидрокаликоз;N13.3;13387
10013378;Гидрокольпос;N89.8;13388
10013379;Гидрокольпос врожденный;N89.8;13389
10013380;Гидроксикинуренинурия;E70.8;13390
10013381;Гидроксилизинемия;E72.3;13391
10013382;Гидроксипролинемия;E72.5;13392
10013383;Гидроменингоцеле;Q05.9;13393
10013384;Гидроменингоцеле спинальное;Q05.9;13394
10013385;Гидроменингоцеле черепное;Q01.9;13395
10013386;Гидрометра;N85.8;13396
10013387;Гидрометрокольпос;N89.8;13397
10013388;Гидромиелия;Q06.4;13398
10013389;Гидромиелоцеле;Q05.9;13399
10013390;Гидромиелоцеле с гидроцефалией;Q05.4;13400
10013391;Гидромикроцефалия;Q02;13401
10013392;Гидромфалос;Q45.8;13402
10013393;Гидромфалос врожденный;Q45.8;13403
10013394;Гидронефроз;N13.3;13404
10013395;Гидронефроз атрофический;N13.3;13405
10013396;Гидронефроз врожденный;Q62.0;13406
10013397;Гидронефроз вторичный;N13.3;13407
10013398;Гидронефроз первичный;N13.3;13408
10013399;Гидронефроз перемежающийся;N13.3;13409
10013400;Гидронефроз ранний;N13.3;13410
10013401;Гидронефроз с закупоркой лоханочно-мочеточникового соединения;N13.0;13411
10013402;Гидронефроз с закупоркой лоханочно-мочеточникового соединения с инфекцией;N13.6;13412
10013403;Гидронефроз с закупоркой мочеточника;N13.1;13413
10013404;Гидронефроз с закупоркой мочеточника с инфекцией;N13.6;13414
10013405;Гидронефроз с закупоркой мочеточниковым камнем;N13.2;13415
10013406;Гидронефроз с закупоркой мочеточниковым камнем с инфекцией;N13.6;13416
10013407;Гидронефроз с закупоркой почечным камнем;N13.2;13417
10013408;Гидронефроз с закупоркой почечным камнем с инфекцией;N13.6;13418
10013409;Гидронефроз с инфекцией;N13.6;13419
10013410;Гидронефроз с потерей функции;N13.3;13420
10013411;Гидронефроз со стриктурой мочеточника;N13.1;13421
10013412;Гидронефроз со стриктурой мочеточника с инфекцией;N13.6;13422
10013413;Гидронефроз туберкулезный;A18.1;13423
10013414;Гидроперикард;I31.9;13424
10013415;Гидроперикардит;I31.9;13425
10013416;Гидроперитонеум;R18;13426
10013417;Гидропионефроз;N13.6;13427
10013418;Гидропневмоперикард;I31.9;13428
10013419;Гидропневмоперикардит;I31.9;13429
10013420;Гидропневмоторакс;J94.8;13430
10013421;Гидропневмоторакс травматический;S27.3;13431
10013422;Гидропневмоторакс туберкулезный;A16.5;13432
10013423;Гидрорахис;Q06.4;13433
10013424;Гидрорея;J34.8;13434
10013425;Гидрорея носовая;J34.8;13435
10013426;Гидросальпинкс;N70.1;13436
10013427;Гидросальпинкс маточной трубы;N70.1;13437
10013428;Гидросальпинкс фолликулярный;N70.1;13438
10013429;Гидроторакс;J94.8;13439
10013430;Гидроторакс двусторонний;J94.8;13440
10013431;Гидроторакс плевры;J94.8;13441
10013432;Гидроторакс травматический;S27.8;13442
10013433;Гидроторакс хилезный;I89.8;13443
10013434;Гидроторакс хилезный нефиляриозный;I89.8;13444
10013435;Гидроторакс хилезный филяриозный;B74.9;13445
10013436;Гидроуретер;N13.4;13446
10013437;Гидроуретер врожденный;Q62.3;13447
10013438;Гидроуретер с инфекцией;N13.6;13448
10013439;Гидроуретеронефроз;N13.3;13449
10013440;Гидроуретеронефроз с инфекцией;N13.6;13450
10013441;Гидроуретра;N36.8;13451
10013442;Гидрофтальм;Q15.0;13452
10013443;Гидроцеле;N43.3;13453
10013444;Гидроцеле влагалищной оболочки яичка;N43.3;13454
10013445;Гидроцеле врожденное;P83.5;13455
10013446;Гидроцеле вульвы;N90.8;13456
10013447;Гидроцеле инфицированное;N43.1;13457
10013448;Гидроцеле канала Нука;N94.8;13458
10013449;Гидроцеле круглой связки;N94.8;13459
10013450;Гидроцеле осумкованное;N43.0;13460
10013451;Гидроцеле семенного канатика;N43.3;13461
10013452;Гидроцеле сообщающаюся;N43.2;13462
10013453;Гидроцеле сообщающаюся врожденное;P83.5;13463
10013454;Гидроцеле спинного мозга;Q05.9;13464
10013455;Гидроцеле спинного мозга с гидроцефалией;Q05.4;13465
10013456;Гидроцеле у женщин;N94.8;13466
10013457;Гидроцеле у новорожденного;P83.5;13467
10013458;Гидроцеле у плода;P83.5;13468
10013459;Гидроцеле уточненного типа;N43.2;13469
10013460;Гидроцеле яичка;N43.3;13470
10013461;Гидроцефалия;G91.9;13471
10013462;Гидроцефалия внутренняя;G91.9;13472
10013463;Гидроцефалия врожденная;Q03.9;13473
10013464;Гидроцефалия врожденная внутренняя;Q03.9;13474
10013465;Гидроцефалия врожденная наружная;Q03.9;13475
10013466;Гидроцефалия врожденная со spina bifida грудной;Q05.1;13476
10013467;Гидроцефалия врожденная со spina bifida дорсальной;Q05.1;13477
10013468;Гидроцефалия врожденная со spina bifida крестцовой;Q05.3;13478
10013469;Гидроцефалия врожденная со spina bifida пояснично-грудной;Q05.1;13479
10013470;Гидроцефалия врожденная со spina bifida поясничной;Q05.2;13480
10013471;Гидроцефалия врожденная со spina bifida пояснично-крестцовой;Q05.2;13481
10013472;Гидроцефалия врожденная со spina bifida шейной;Q05.0;13482
10013473;Гидроцефалия врожденная уточненная;Q03.8;13483
10013474;Гидроцефалия вследствие инфекционной болезни;B99;13484
10013475;Гидроцефалия вследствие опухолевой болезни;D48.9;13485
10013476;Гидроцефалия вследствие паразитарного заболевания;B89;13486
10013477;Гидроцефалия злокачественная;G91.9;13487
10013478;Гидроцефалия наружная;G91.9;13488
10013479;Гидроцефалия несообщающаяся;G91.1;13489
10013480;Гидроцефалия новорожденного;Q03.9;13490
10013481;Гидроцефалия новорожденного в сочетании со spina bifida;Q05.4;13491
10013482;Гидроцефалия новорожденного врожденная;Q03.9;13492
10013483;Гидроцефалия обструктивная;G91.1;13493
10013484;Гидроцефалия постгеморрагическая у новорожденного;P96.4;13494
10013485;Гидроцефалия посттравматическая;G91.3;13495
10013486;Гидроцефалия при инфекционной болезни;B99;13496
10013487;Гидроцефалия при опухолевой болезни;D48.9;13497
10013488;Гидроцефалия при паразитарном заболевании;B89;13498
10013489;Гидроцефалия приобретенная;G91.9;13499
10013490;Гидроцефалия рецидивирующая;G91.9;13500
10013491;Гидроцефалия с врожденной закупоркой отверстия;Q03.1;13501
10013492;Гидроцефалия с закупоркой отверстия;G91.1;13502
10013493;Гидроцефалия с закупоркой отверстия приобретенной;G91.1;13503
10013494;Гидроцефалия с нормальным давлением;G91.2;13504
10013495;Гидроцефалия сифилитическая врожденная;A50.4;13505
10013496;Гидроцефалия со стриктурой сильвиева водопровода;Q03.0;13506
10013497;Гидроцефалия сообщающаяся;G91.0;13507
10013498;Гидроцефалия у новорожденного приобретенная;P91.7;13508
10013499;Гидроцефалия у новорожденного приобретенная после внтурижелудочкового кровоизлияния;P91.7;13509
10013500;Гидроцефалия у новорожденного приобретенная постгеморрагическая;P91.7;13510
10013501;Гидроцефалия у плода предполагаемая, влияющая на характер ведения беременности;O35.0;13511
10013502;Гидроцефалия у плода, влияющая на характер ведения беременности;O35.0;13512
10013503;Гидроцефалия уточненная;G91.8;13513
10013504;Гидроцефалия, вызванная токсоплазмозом;P37.1;13514
10013505;Гидроцефалия, вызванная токсоплазмозом врожденным;P37.1;13515
10013506;Гидроцефалия, вызывающая диспропорцию;Q33.6;13516
10013507;Гидроцефалия, вызывающая диспропорцию с затрудненными родами;O66.3;13517
10013508;Гидроцефалия, вызывающая диспропорцию, влияние на новорожденного;P03.1;13518
10013509;Гидроцефалия, вызывающая диспропорцию, влияние на плод;P03.1;13519
10013510;Гидроэнцефаломенингоцеле;Q01.9;13520
10013511;Гидроэнцефаломенингоцеле врожденное;Q01.9;13521
10013512;Гидроэнцефалоцеле;Q01.9;13522
10013513;Гидроэнцефалоцеле врожденное;Q01.9;13523
10013514;Гидрэнцефаломенингоцеле;Q01.9;13524
10013515;Гидрэнцефаломенингоцеле врожденное;Q01.9;13525
10013516;Гидрэнцефалоцеле;Q01.9;13526
10013517;Гидрэнцефалоцеле врожденное;Q01.9;13527
10013518;Гийена-Барре болезнь;G61.0;13528
10013519;Гийена-Барре синдром;G61.0;13529
