�ледствие рахита;E64.3;70100
10072330;Токсикоз;R68.8;72401
10072331;Токсикоз капиллярный геморрагический;D69.0;72402
10072332;Токсическая щитовидная железа;E05.9;72403
10072333;Токсический эффект, обусловленный контактом с животным, имеющим панцирь;T63.6;72404
10072334;Токсический эффект, обусловленный контактом с животным, имеющим раковину;T63.6;72405
10072335;Токсический эффект, обусловленный контактом с медузой;T63.6;72406
10072336;Токсический эффект, обусловленный контактом с морским анемоном;T63.6;72407
10072337;Токсический эффект, обусловленный контактом с морским животным;T63.6;72408
10072338;Токсический эффект, обусловленный контактом с морской губкой;T63.6;72409
10072339;Токсический эффект, обусловленный контактом с морской звездой;T63.6;72410
10072340;Токсический эффект, обусловленный контактом с рыбой;T63.5;72411
10072341;Токсический эффект, обусловленный контактом со скорпионом;T63.2;72412
10072342;Токсическое отравление;T65.9;72413
10072343;Токсичность;T65.9;72414
10072344;Токсичность стручкового боба;D55.0;72415
10072345;Токсокароз;B83.0;72416
10072346;Токсоплазмоз;B58.9;72417
10072347;Токсоплазмоз врожденный;P37.1;72418
10072348;Токсоплазмоз врожденный острый;P37.1;72419
10072349;Токсоплазмоз врожденный подострый;P37.1;72420
10072350;Токсоплазмоз врожденный хронический;P37.1;72421
10072351;Токсоплазмоз как проявление болезни, вызванной ВИЧ;B20.8;72422
10072352;Токсоплазмоз приобретенный;B58.9;72423
10072353;Токсоплазмоз с вовлечением глаз;B58.0;72424
10072354;Токсоплазмоз с вовлечением других органов;B58.8;72425
10072355;Токсоплазмоз с гепатитом;B58.1;72426
10072356;Токсоплазмоз с менингоэнцефалитом;B58.2;72427
10072357;Токсоплазмоз с пневмонией;B58.3;72428
10072358;Токсоплазмоз с пневмонитом;B58.3;72429
10072359;Токсоплазмоз у матери с проявлением токсоплазмоза у младенца;P37.1;72430
10072360;Токсоплазмоз у матери с проявлением токсоплазмоза у плода;P37.1;72431
10072361;Токсоплазмоз у матери, влияние на новорожденного;P00.2;72432
10072362;Токсоплазмоз у матери, влияние на плод;P00.2;72433
10072363;Токсоплазмоз у матери, проявления токсоплазмоза у младенца острое;P37.1;72434
10072364;Токсоплазмоз у матери, проявления токсоплазмоза у младенца подострое;P37.1;72435
10072365;Токсоплазмоз у матери, проявления токсоплазмоза у младенца хроническое;P37.1;72436
10072366;Токсоплазмоз у матери, проявления токсоплазмоза у плода острое;P37.1;72437
10072367;Токсоплазмоз у матери, проявления токсоплазмоза у плода подострое;P37.1;72438
10072368;Токсоплазмоз у матери, проявления токсоплазмоза у плода хроническое;P37.1;72439
10072369;Токсоплазмозом предполагаемое поражение плода, влияющее на ведение беременности;O35.8;72440
10072370;Томмазелли болезнь вызванная неправильным назначением лекарственного средства;T37.2;72441
10072371;Томмазелли болезнь вызванная передозировкой лекарственного средства;T37.2;72442
10072372;Томмазелли болезнь вызванная приемом лекарственного средства по ошибке;T37.2;72443
10072373;Томсена болезнь;G71.1;72444
10072374;Тонзиллит;J03.9;72445
10072375;Тонзиллит Венсана;A69.1;72446
10072376;Тонзиллит гангренозный;J03.9;72447
10072377;Тонзиллит гипертрофический;J35.0;72448
10072378;Тонзиллит дифтерийный;A36.0;72449
10072379;Тонзиллит инфекционный;J03.9;72450
10072380;Тонзиллит острый;J03.9;72451
10072381;Тонзиллит паренхиматозный;J03.9;72452
10072382;Тонзиллит подострый;J03.9;72453
10072383;Тонзиллит септический;J03.9;72454
10072384;Тонзиллит стафилококковый;J03.8;72455
10072385;Тонзиллит стрептококковый;J03.0;72456
10072386;Тонзиллит туберкулезный;A16.8;72457
10072387;Тонзиллит туберкулезный с бактериологическим и гистологическим подтверждением;A15.8;72458
10072388;Тонзиллит фолликулярный;J03.9;72459
10072389;Тонзиллит хронический;J35.0;72460
10072390;Тонзиллит язвенный;J03.9;72461
10072391;Тонзиллит язычный;J03.9;72462
10072392;Тонзиллит, вызванный уточненным возбудителем;J03.8;72463
10072393;Тонзиллофарингит;J06.8;72464
10072394;Тонический зрачок;H57.0;72465
10072395;Топагноз;R20.8;72466
10072396;Торакогастросхизис;Q79.8;72467
10072397;Торакогастросхизис врожденный;Q79.8;72468
10072398;Торакопаг;Q89.4;72469
10072399;Торна синдром;N28.8;72470
10072400;Торнвалдта болезнь;J39.2;72471
10072401;Торнвалдта киста;J39.2;72472
10072402;Торнидениоз;B81.8;72473
10072403;ТОРС;U04.9;72474
10072404;Торсионная дистония идиопатическая;G24.1;72475
10072405;Торулез;B45.9;72476
10072406;Торус;K10.0;72477
10072407;Торус нижней челюсти;K10.0;72478
10072408;Торус твердого неба;K10.0;72479
10072409;Тоска по дому;F43.2;72480
10072410;Тофусы;M10.9;72481
10072411;Точильщика легкое;J62.8;72482
10072412;Точильщика пневмокониоз;J62.8;72483
10072413;Тошнота;R11;72484
10072414;Тошнота морская;T75.3;72485
10072415;Тошнота от морской качки;T75.3;72486
10072416;Тошнота эпидемическая;A08.1;72487
10072417;Трабекуляция мочевого пузыря;N32.8;72488
10072418;Травма;T14.9;72489
10072419;"Травма ""хлыстовая""";S13.4;72490
10072420;"Травма ""хлыстовая"" шейного отдела позвоночника";S13.4;72491
10072421;Травма абдоминальная;S39.9;72492
10072422;Травма абдоминальная и тазовых органов;S39.6;72493
10072423;Травма абдоминальная уточненная;S39.8;72494
10072424;Травма аденоидов;S09.9;72495
10072425;Травма акустическая;H83.3;72496
10072426;Травма акустических нервов;S04.6;72497
10072427;Травма акустического нерва;S04.6;72498
10072428;Травма акушерская;O71.9;72499
10072429;Травма акушерская уточненная;O71.8;72500
10072430;Травма альвеолярного отростка;S09.9;72501
10072431;Травма аорты;S25.0;72502
10072432;Травма артерии;T14.5;72503
10072433;Травма артерии матки;S35.5;72504
10072434;Травма артерии яичника;S35.8;72505
10072435;Травма артерии, осложняющая травму;T14.5;72506
10072436;Травма ахиллова сухожилия;S86.0;72507
10072437;Травма бедра;S79.9;72508
10072438;Травма бедра уточненная;S79.8;72509
10072439;Травма бедренного нерва;S74.1;72510
10072440;Травма бедренного нерва на уровне бедра;S74.1;72511
10072441;Травма бедренного нерва на уровне тазобедренного сустава;S74.1;72512
10072442;Травма бедренной артерии;S75.0;72513
10072443;Травма бедренной артерии поверхностной;S75.0;72514
10072444;Травма бедренной вены;S75.1;72515
10072445;Травма бедренной вены на уровне бедра;S75.1;72516
10072446;Травма бедренной вены на уровне тазобедренного сустава;S75.1;72517
10072447;Травма бедренных нервов;S74.1;72518
10072448;Травма бедренных нервов на уровне бедра;S74.1;72519
10072449;Травма бедренных нервов на уровне тазобедренного сустава;S74.1;72520
10072450;Травма безымянной артерии;S25.1;72521
10072451;Травма безымянной вены;S25.3;72522
10072452;Травма блокового нерва;S04.2;72523
10072453;Травма блоковых нервов;S04.2;72524
10072454;Травма блуждающего нерва;S04.8;72525
10072455;Травма большеберцового нерва;S84.0;72526
10072456;Травма большеберцового нерва на уровне голени;S84.0;72527
10072457;Травма большеберцовой артерии;S85.1;72528
10072458;Травма большеберцовых нервов;S84.0;72529
10072459;Травма большеберцовых нервов на уровне голени;S84.0;72530
10072460;Травма больших половых губ;S39.9;72531
10072461;Травма большого пальца руки;S69.9;72532
10072462;Травма большой подкожной вены;S85.3;72533
10072463;Травма большой подкожной вены на уровне бедра и тазобедренного сустава;S75.2;72534
10072464;Травма большой подкожной вены на уровне голени;S85.3;72535
10072465;Травма большой половой губы;S39.9;72536
10072466;Травма брови;S09.9;72537
10072467;Травма бронха;S27.4;72538
10072468;Травма бронхов;S27.4;72539
10072469;Травма брыжеечного верхнего кровеносного сосуда;S35.9;72540
10072470;Травма брыжеечного кровеносного сосуда;S35.9;72541
10072471;Травма брыжеечного нижнего кровеносного сосуда;S35.9;72542
10072472;Травма брыжеечного сплетения;S34.5;72543
10072473;Травма брыжеечной артерии;S35.2;72544
10072474;Травма брыжеечной вены;S35.3;72545
10072475;Травма брыжейки;S36.8;72546
10072476;Травма брюшины;S36.8;72547
10072477;Травма брюшной аорты;S35.0;72548
10072478;Травма в период родоразрешения;O71.9;72549
10072479;Травма века;S09.9;72550
10072480;Травма века поверхностная;S00.2;72551
10072481;Травма вены;T14.5;72552
10072482;Травма вены матки;S35.5;72553
10072483;Травма вены предплечья;S55.2;72554
10072484;Травма вены яичника;S35.8;72555
10072485;Травма верхнего брыжеечного сплетения;S34.5;72556
10072486;Травма верхней брыжеечной артерии;S35.2;72557
10072487;Травма верхней брыжеечной вены;S35.3;72558
10072488;Травма верхней конечности;T11.9;72559
10072489;Травма верхней конечности на неуточненном уровне;T11.9;72560
10072490;Травма верхней конечности уточненная;T11.8;72561
10072491;Травма верхней конечности уточненного типа;T11.8;72562
10072492;Травма верхней полой вены;S25.2;72563
10072493;Травма верхней части руки;S44.9;72564
10072494;Травма верхней челюсти;S09.9;72565
10072495;Травма взрывной волной;T14.8;72566
10072496;Травма взрывной волной генерализованная;T70.8;72567
10072497;Травма взрывной волной головного мозга;S06.0;72568
10072498;Травма вилочковой железы;S27.8;72569
10072499;Травма виска;S09.9;72570
10072500;Травма височной области;S09.9;72571
10072501;Травма висцерального нерва;S34.5;72572
10072502;Травма висцеральных нервов;S34.5;72573
10072503;Травма влагалища;S39.9;72574
10072504;Травма влагалищной оболочки яичка;S39.9;72575
10072505;Травма внутреннего мениска;S83.6;72576
10072506;Травма внутреннего подошвенного нерва;S94.1;72577
10072507;Травма внутреннего подошвенного нерва на уровне лодыжки;S94.1;72578
10072508;Травма внутреннего подошвенного нерва на уровне стопы;S94.1;72579
10072509;Травма внутреннего полового органа;S37.9;72580
10072510;Травма внутренней сонной артерии;S15.0;72581
10072511;Травма внутренней яремной вены;S15.3;72582
10072512;Травма внутренних органов торакальная;S27.7;72583
10072513;Травма внутренних подошвенных нервов;S94.1;72584
10072514;Травма внутренних подошвенных нервов на уровне лодыжки;S94.1;72585
10072515;Травма внутренних подошвенных нервов на уровне стопы;S94.1;72586
10072516;Травма внутренних половых органов;S37.9;72587
10072517;Травма внутренняя;T14.8;72588
10072518;Травма внутренняя грудной клетки;S27.9;72589
10072519;Травма внутренняя мочевого пузыря;S37.2;72590
10072520;Травма внутренняя мочевого пузыря акушерская;O71.5;72591
10072521;Травма внутренняя сфинктера мочевого пузыря;S37.2;72592
10072522;Травма внутренняя сфинктера мочевого пузыря акушерская;O71.5;72593
10072523;Травма внутренняя таза;S37.9;72594
10072524;Травма внутренняя таза вследствие аборта;O08.6;72595
10072525;Травма внутренняя таза вследствие аборта, последующий эпизод;O08.6;72596
10072526;Травма внутренняя таза вследствие акушерской травмы;O71.5;72597
10072527;Травма внутренняя таза вследствие акушерской травмы с перфорацией;O71.1;72598
10072528;Травма внутренняя таза вследствие акушерской травмы с разрывом;O71.1;72599
10072529;Травма внутренняя таза вследствие внематочной беременности;O08.6;72600
10072530;Травма внутренняя таза вследствие внематочной беременности, последующий эпизод;O08.6;72601
10072531;Травма внутренняя таза вследствие молярной беременности;O08.6;72602
10072532;Травма внутренняя таза вследствие молярной беременности, последующий эпизод;O08.6;72603
10072533;Травма внутренняя таза уточненная;S39.8;72604
10072534;Травма внутренняя тазового органа;S37.9;72605
10072535;Травма внутренняя тазового органа вследствие аборта;O08.6;72606
10072536;Травма внутренняя тазового органа вследствие аборта, последующий эпизод;O08.6;72607
10072537;Травма внутренняя тазового органа вследствие акушерской травмы;O71.5;72608
10072538;Травма внутренняя тазового органа вследствие акушерской травмы с перфорацией;O71.1;72609
10072539;Травма внутренняя тазового органа вследствие акушерской травмы с разрывом;O71.1;72610
10072540;Травма внутренняя тазового органа вследствие внематочной беременности;O08.6;72611
10072541;Травма внутренняя тазового органа вследствие внематочной беременности, последующий эпизод;O08.6;72612
10072542;Травма внутренняя тазового органа вследствие молярной беременности;O08.6;72613
10072543;Травма внутренняя тазового органа вследствие молярной беременности, последующий эпизод;O08.6;72614
10072544;Травма внутренняя тазового органа уточненная;S39.8;72615
10072545;Травма внутренняя шейки матки;S37.6;72616
10072546;Травма внутренняя шейки матки акушерская;O71.3;72617
10072547;Травма внутрибрюшного органа;S36.9;72618
10072548;Травма внутрибрюшного органа и внутригрудных органов;T06.5;72619
10072549;Травма внутрибрюшного органа уточненная;S36.8;72620
10072550;Травма внутрибрюшного органа, внутригрудных и тазовых органов;T06.5;72621
10072551;Травма внутриглазная;S05.6;72622
10072552;Травма внутригрудного органа;S27.9;72623
10072553;Травма внутригрудного органа и внутрибрюшных органов;T06.5;72624
10072554;Травма внутригрудного органа уточненная;S27.8;72625
10072555;Травма внутригрудного органа, внутрибрюшных и тазовых органов;T06.5;72626
10072556;Травма внутричерепная;S06.9;72627
10072557;Травма внутричерепная с продолжительной комой;S06.7;72628
10072558;Травма внутричерепная уточненная;S06.8;72629
10072559;Травма внутричерепного кровеносного сосуда;S06.9;72630
10072560;Травма воздушной волной;T14.8;72631
10072561;Травма волосистой части головы;S09.9;72632
10072562;Травма волосистой части головы новорожденного;P12.9;72633
10072563;Травма волосистой части головы новорожденного вследствие процедуры мониторинга;P12.4;72634
10072564;Травма волосистой части головы новорожденного вследствие процедуры мониторинга надрезом для взятия пробы;P12.4;72635
10072565;Травма волосистой части головы новорожденного вследствие процедуры мониторинга наложением электрода;P12.4;72636
10072566;Травма волосистой части головы новорожденного уточненная;P12.8;72637
10072567;Травма волосистой части головы новорожденного, родовая травма;P12.9;72638
10072568;Травма волосистой части головы плода;P12.9;72639
10072569;Травма волосистой части головы плода вследствие процедуры мониторинга;P12.4;72640
10072570;Травма волосистой части головы плода вследствие процедуры мониторинга надрезом для взятия пробы;P12.4;72641
10072571;Травма волосистой части головы плода вследствие процедуры мониторинга наложением электрода;P12.4;72642
10072572;Травма волосистой части головы плода уточненная;P12.8;72643
10072573;Травма воротной вены;S35.3;72644
10072574;Травма восьмого черепного нерва;S04.6;72645
10072575;Травма восьмой пары черепных нервов;S04.6;72646
10072576;Травма восьмых черепных нервов;S04.6;72647
10072577;Травма вращательной манжеты плеча;S46.0;72648
10072578;Травма второго черепного нерва;S04.0;72649
10072579;Травма второй пары черепных нервов;S04.0;72650
10072580;Травма вторых черепных нервов;S04.0;72651
10072581;Травма вульвы;S39.9;72652
10072582;Травма гассерова ганглия;S04.3;72653
10072583;Травма гассерова узла;S04.3;72654
10072584;Травма гастродуоденальной артерии;S35.2;72655
10072585;Травма гидравлической волной;T14.8;72656
10072586;Травма глаза;S05.9;72657
10072587;Травма глазницы;S05.9;72658
10072588;Травма глазницы проникающая;S05.4;72659
10072589;Травма глазницы проникающая с инородным телом;S05.4;72660
10072590;Травма глазницы уточненная;P12.8;72661
10072591;Травма глазничной области;S05.9;72662
10072592;Травма глазничной области проникающая;S05.4;72663
10072593;Травма глазничной области проникающая с инородным телом;S05.4;72664
10072594;Травма глазничной области уточненная;P12.8;72665
10072595;Травма глазного яблока;S05.8;72666
10072596;Травма глазного яблока поверхностная;S05.8;72667
10072597;Травма глазного яблока проникающая;S05.6;72668
10072598;Травма глазного яблока проникающая без выпадения внутриглазной ткани;S05.3;72669
10072599;Травма глазного яблока проникающая без потери внутриглазной ткани;S05.3;72670
10072600;Травма глазного яблока проникающая с выпадением внутриглазной ткани;S05.2;72671
10072601;Травма глазного яблока проникающая с инородным телом;S05.5;72672
10072602;Травма глазного яблока проникающая с потерей внутриглазной ткани;S05.2;72673
10072603;Травма глазного яблока уточненная;S05.8;72674
10072604;Травма глазодвигательного нерва;S04.1;72675
10072605;Травма глазодвигательных нервов;S04.1;72676
10072606;Травма глотки;S19.9;72677
10072607;Травма глубоких малоберцовых нервов;S94.2;72678
10072608;Травма глубоких малоберцовых нервов на уровне голеностопного сустава;S94.2;72679
10072609;Травма глубоких малоберцовых нервов на уровне стопы;S94.2;72680
10072610;Травма глубокого малоберцового нерва;S94.2;72681
10072611;Травма глубокого малоберцового нерва на уровне голеностопного сустава;S94.2;72682
10072612;Травма глубокого малоберцового нерва на уровне стопы;S94.2;72683
10072613;Травма глубокой подошвенной артерии;S95.1;72684
10072614;Травма голеностопного сустава;S99.9;72685
10072615;Травма голеностопного сустава уточненная;S99.8;72686
10072616;Травма головного мозга;S06.9;72687
10072617;Травма головного мозга диффузная;S06.2;72688
10072618;Травма головного мозга и спинного мозга;T06.0;72689
10072619;Травма головного мозга и спинного мозга на уровне шеи;T06.0;72690
10072620;Травма головного мозга и черепного нерва;S09.7;72691
10072621;Травма головного мозга и черепных нервов;S09.7;72692
10072622;Травма головного мозга очаговая;S06.3;72693
10072623;Травма головного мозга уточненная;S06.8;72694
10072624;Травма головы;S09.9;72695
10072625;Травма гортани;S19.8;72696
10072626;Травма грудины;S29.9;72697
10072627;Травма грудного кровеносного сосуда;S25.9;72698
10072628;Травма грудного кровеносного сосуда уточненного;S25.8;72699
10072629;Травма грудного нервного корешка;S24.2;72700
10072630;Травма грудного отдела пищевода;S27.8;72701
10072631;Травма грудного отдела спинного мозга;S24.1;72702
10072632;Травма грудного отдела трахеи;S27.5;72703
10072633;Травма грудного симпатического ганглия;S24.4;72704
10072634;Травма грудного симпатического узла;S24.4;72705
10072635;Травма грудной аорты;S25.0;72706
10072636;Травма грудной артерии;S25.8;72707
10072637;Травма грудной вены;S25.8;72708
10072638;Травма грудной клетки;S29.9;72709
10072639;Травма грудной клетки внутренняя;S27.9;72710
10072640;Травма грудной клетки внутренняя уточненная;S27.8;72711
10072641;Травма грудной клетки наружная;S29.9;72712
10072642;Травма грудной клетки наружная уточненная;S29.8;72713
10072643;Травма грудной полости;S27.9;72714
10072644;Травма группы малоберцовых мышц на уровне голени;S86.3;72715
10072645;Травма губы;S09.9;72716
10072646;Травма двенадцатиперстной кишки;S36.4;72717
10072647;Травма двенадцатого черепного нерва;S04.8;72718
10072648;Травма двенадцатой пары черепных нервов;S04.8;72719
10072649;Травма двенадцатых черепных нервов;S04.8;72720
10072650;Травма двуглавой мышцы;S46.2;72721
10072651;Травма девственной плевы;S39.9;72722
10072652;Травма девятого черепного нерва;S04.8;72723
10072653;Травма девятой пары черепных нервов;S04.8;72724
10072654;Травма девятых черепных нервов;S04.8;72725
10072655;Травма десны;S09.9;72726
10072656;Травма десятого черепного нерва;S04.8;72727
10072657;Травма десятой пары черепных нервов;S04.8;72728
10072658;Травма десятых черепных нервов;S04.8;72729
10072659;Травма диафрагмы;S27.8;72730
10072660;Травма дигитального кровеносного сосуда;S65.5;72731
10072661;Травма длинного сгибателя большого пальца кисти;S66.0;72732
10072662;Травма длинного сгибателя большого пальца кисти на уровне запястья и кисти;S66.0;72733
10072663;Травма длинного сгибателя большого пальца кисти, на уровне предплечья;S56.0;72734
10072664;Травма длинного сгибателя пальца стопы;S96.0;72735
10072665;Травма длинной головки двуглавой мышцы;S46.1;72736
10072666;Травма добавочного нерва;S04.7;72737
10072667;Травма добавочных нервов;S04.7;72738
10072668;Травма дорсального нервного корешка;S24.2;72739
10072669;Травма дорсального отдела спинного мозга;S24.1;72740
10072670;Травма дорсальной артерии стопы;S95.0;72741
10072671;Травма дорсальной вены стопы;S95.2;72742
10072672;Травма другого прецеребрального кровеносного сосуда;S15.8;72743
10072673;Травма евстахиевой трубы;S09.9;72744
10072674;Травма желудка;S36.3;72745
10072675;Травма желудочной артерии;S35.2;72746
10072676;Травма желудочной вены;S35.8;72747
10072677;Травма желудочно-кишечного тракта;S36.9;72748
10072678;Травма желчного протока;S36.1;72749
10072679;Травма желчного пузыря;S36.1;72750
10072680;Травма живота;S39.9;72751
10072681;Травма живота и тазовых органов;S39.6;72752
10072682;Травма живота уточненная;S39.8;72753
10072683;Травма заднего прохода;S39.9;72754
10072684;Травма задней большеберцовой артерии;S85.1;72755
10072685;Травма задней группы мышц бедра;S76.3;72756
10072686;Травма задней группы мышц голени;S86.1;72757
10072687;Травма задней группы мышц на уровне бедра;S76.3;72758
10072688;Травма задней группы мышц на уровне голени;S86.1;72759
10072689;Травма запястья;S69.9;72760
10072690;Травма запястья уточненная;S69.8;72761
10072691;Травма затылочной;S09.9;72762
10072692;Травма затылочной доли головного мозга;S06.8;72763
10072693;Травма затылочной области;S09.9;72764
10072694;Травма затылочной области волосистой части головы;S09.9;72765
10072695;Травма звездчатого ганглия;S24.4;72766
10072696;Травма звездчатого узла;S24.4;72767
10072697;Травма зрительного нерва;S04.0;72768
10072698;Травма зрительного перекреста;S04.0;72769
10072699;Травма зрительного тракта;S04.0;72770
10072700;Травма зрительной коры;S04.0;72771
10072701;Травма зрительных нервов;S04.0;72772
10072702;Травма зуба;S09.9;72773
10072703;Травма иммерсионной волной;T14.8;72774
10072704;Травма инструментальная;T81.2;72775
10072705;Травма инструментальная акушерская;O71.9;72776
10072706;Травма инструментальная акушерская верхней части влагалища;O71.4;72777
10072707;Травма инструментальная акушерская матки;O71.5;72778
10072708;Травма инструментальная акушерская матки с перфорацией;O71.1;72779
10072709;Травма инструментальная акушерская матки с разрывом;O71.1;72780
10072710;Травма инструментальная акушерская мочевого пузыря;O71.5;72781
10072711;Травма инструментальная акушерская промежности;O70.9;72782
10072712;Травма инструментальная акушерская уретры;O71.5;72783
10072713;Травма инструментальная акушерская шейки матки;O71.3;72784
10072714;Травма инструментальная во время хирургической процедуры;T81.2;72785
10072715;Травма инструментальная нехирургическая;T14.9;72786
10072716;Травма инфракрасными лучами;T66;72787
10072717;Травма кавернозного синуса;S06.8;72788
10072718;Травма кисти;S69.9;72789
10072719;Травма кисти уточненная;S69.8;72790
10072720;Травма кишечника;S36.9;72791
10072721;Травма клитора;S39.9;72792
10072722;Травма кожи;T14.9;72793
10072723;Травма кожного чувствительного нерва бедра;S74.2;72794
10072724;Травма кожного чувствительного нерва голени;S84.2;72795
10072725;Травма кожного чувствительного нерва лодыжки;S94.3;72796
10072726;Травма кожного чувствительного нерва на уровне бедра;S74.2;72797
10072727;Травма кожного чувствительного нерва на уровне голени;S84.2;72798
10072728;Травма кожного чувствительного нерва на уровне лодыжки;S94.3;72799
10072729;Травма кожного чувствительного нерва на уровне плеча;S44.5;72800
10072730;Травма кожного чувствительного нерва на уровне плечевого пояса;S44.5;72801
10072731;Травма кожного чувствительного нерва на уровне предплечья;S54.3;72802
10072732;Травма кожного чувствительного нерва на уровне стопы;S94.3;72803
10072733;Травма кожного чувствительного нерва на уровне тазобедренного сустава;S74.2;72804
10072734;Травма кожного чувствительного нерва ноги;S84.2;72805
10072735;Травма кожного чувствительного нерва области тазобедренного сустава;S74.2;72806
10072736;Травма кожного чувствительного нерва плеча;S44.5;72807
10072737;Травма кожного чувствительного нерва плечевого пояса;S44.5;72808
10072738;Травма кожного чувствительного нерва предплечья;S54.3;72809
10072739;Травма кожного чувствительного нерва стопы;S94.3;72810
10072740;Травма кожного чувствительного нерва тазобедренного сустава;S74.2;72811
10072741;Травма кожных чувствительных нервов бедра;S74.2;72812
10072742;Травма кожных чувствительных нервов голени;S84.2;72813
10072743;Травма кожных чувствительных нервов лодыжки;S94.3;72814
10072744;Травма кожных чувствительных нервов на уровне бедра;S74.2;72815
10072745;Травма кожных чувствительных нервов на уровне голени;S84.2;72816
10072746;Травма кожных чувствительных нервов на уровне лодыжки;S94.3;72817
10072747;Травма кожных чувствительных нервов на уровне плеча;S44.5;72818
10072748;Травма кожных чувствительных нервов на уровне плечевых пояса;S44.5;72819
10072749;Травма кожных чувствительных нервов на уровне предплечья;S54.3;72820
10072750;Травма кожных чувствительных нервов на уровне стопы;S94.3;72821
10072751;Травма кожных чувствительных нервов на уровне тазобедренного сустава;S74.2;72822
10072752;Травма кожных чувствительных нервов ноги;S84.2;72823
10072753;Травма кожных чувствительных нервов области тазобедренного сустава;S74.2;72824
10072754;Травма кожных чувствительных нервов плеча;S44.5;72825
10072755;Травма кожных чувствительных нервов плечевых пояса;S44.5;72826
10072756;Травма кожных чувствительных нервов предплечья;S54.3;72827
10072757;Травма кожных чувствительных нервов стопы;S94.3;72828
10072758;Травма кожных чувствительных нервов тазобедренного сустава;S74.2;72829
10072759;Травма колена;S89.9;72830
10072760;Травма конечности;T14.9;72831
10072761;Травма конского хвоста;S34.3;72832
10072762;Травма конъюнктивы;S05.0;72833
10072763;Травма конъюнктивы поверхностная;S05.0;72834
10072764;Травма копчика;S39.9;72835
10072765;Травма копчика осложняющая роды;O71.6;72836
10072766;Травма корешка крестцового спинномозгового нерва;S34.2;72837
10072767;Травма корешка поясничного спинномозгового нерва;S34.2;72838
10072768;Травма корешка пояснично-крестцового спинномозгового нерва;S34.2;72839
10072769;Травма корешка спинномозгового нерва;T09.4;72840
10072770;Травма корешка спинномозгового нерва в нескольких областях тела;T06.1;72841
10072771;Травма корешка спинномозгового нерва грудного отдела;S24.2;72842
10072772;Травма корешка шейного спинномозгового нерва;S14.2;72843
10072773;Травма корешков грудных спинномозговых нервов;S24.2;72844
10072774;Травма корешков крестцовых спинномозговых нервов;S34.2;72845
10072775;Травма корешков пояснично-крестцовых спинномозговых нервов;S34.2;72846
10072776;Травма корешков поясничных спинномозговых нервов;S34.2;72847
10072777;Травма корешков спинномозговых нервов;T09.4;72848
10072778;Травма корешков спинномозговых нервов в нескольких областях тела;T06.1;72849
10072779;Травма корешков шейных спинномозговых нервов;S14.2;72850
10072780;Травма коры;S06.8;72851
10072781;Травма крайней плоти;S39.9;72852
10072782;Травма крестцового нервного корешка;S34.2;72853
10072783;Травма крестцового сплетения;S34.4;72854
10072784;Травма кровеносного сосуда;T14.5;72855
10072785;Травма кровеносного сосуда бедра;S75.9;72856
10072786;Травма кровеносного сосуда бедра уточненного;S75.8;72857
10072787;Травма кровеносного сосуда большого пальца;S65.4;72858
10072788;Травма кровеносного сосуда большого пальца кисти;S65.4;72859
10072789;Травма кровеносного сосуда большого пальца руки;S65.4;72860
10072790;Травма кровеносного сосуда верхней конечности;T11.4;72861
10072791;Травма кровеносного сосуда верхней части руки;S45.9;72862
10072792;Травма кровеносного сосуда глубокой ладонной дуги;S65.3;72863
10072793;Травма кровеносного сосуда голеностопного сустава;S95.9;72864
10072794;Травма кровеносного сосуда голеностопного сустава уточненного;S95.8;72865
10072795;Травма кровеносного сосуда головы;S09.0;72866
10072796;Травма кровеносного сосуда головы уточненного;S09.0;72867
10072797;Травма кровеносного сосуда грудного отдела;S25.9;72868
10072798;Травма кровеносного сосуда живота;S35.9;72869
10072799;Травма кровеносного сосуда живота уточненного;S35.8;72870
10072800;Травма кровеносного сосуда запястья;S65.9;72871
10072801;Травма кровеносного сосуда запястья уточненного;S65.8;72872
10072802;Травма кровеносного сосуда кисти;S65.9;72873
10072803;Травма кровеносного сосуда кисти уточненного;S65.8;72874
10072804;Травма кровеносного сосуда конечности;T14.5;72875
10072805;Травма кровеносного сосуда ладонной дуги;S65.2;72876
10072806;Травма кровеносного сосуда малоберцовой артерии;S85.2;72877
10072807;Травма кровеносного сосуда матки;S35.5;72878
10072808;Травма кровеносного сосуда на уровне бедра;S75.9;72879
10072809;Травма кровеносного сосуда на уровне запястья;S65.9;72880
10072810;Травма кровеносного сосуда на уровне кисти;S65.9;72881
10072811;Травма кровеносного сосуда на уровне плеча;S45.9;72882
10072812;Травма кровеносного сосуда нижней конечности;T13.4;72883
10072813;Травма кровеносного сосуда нижней части ноги;S85.9;72884
10072814;Травма кровеносного сосуда нижней части спины;S35.9;72885
10072815;Травма кровеносного сосуда нижней части спины уточненного;S35.8;72886
10072816;Травма кровеносного сосуда ноги;S85.9;72887
10072817;Травма кровеносного сосуда ноги на уровне голени;S85.9;72888
10072818;Травма кровеносного сосуда ноги уточненного;S85.8;72889
10072819;Травма кровеносного сосуда пальца;S65.5;72890
10072820;Травма кровеносного сосуда пальца руки;S65.5;72891
